Date,Open,High,Low,Close,Volume,Change,BPS,PER,PBR,EPS,DIV,DPS,Action,act
2021-03-23,82600,82900,81800,81800,13299907,-0.0024390243902439046,37528,25.84,2.18,3166,1.73,1416,2,2
2021-03-24,81000,81600,80700,81000,17926638,-0.009779951100244544,37528,25.58,2.16,3166,1.75,1416,2,2
2021-03-25,81000,82100,80800,81200,14758826,0.0024691358024691024,37528,25.65,2.16,3166,1.74,1416,2,2
2021-03-26,81400,81600,81000,81500,12845778,0.003694581280788256,37528,25.74,2.17,3166,1.74,1416,2,2
2021-03-29,81700,81700,81000,81600,14952134,0.0012269938650306678,37528,25.77,2.17,3166,1.74,1416,2,2
2021-03-30,81600,82300,81300,82200,13121698,0.007352941176470562,37528,25.96,2.19,3166,1.72,1416,2,2
2021-03-31,82400,82700,81400,81400,17240518,-0.009732360097323589,37528,25.71,2.17,3166,1.74,1416,1,2
2021-04-01,82500,83000,82000,82900,18676461,0.01842751842751844,37528,26.18,2.21,3166,1.71,1416,2,2
2021-04-02,84000,85200,83900,84800,22997538,0.022919179734619988,37528,26.78,2.26,3166,1.67,1416,2,2
2021-04-05,85800,86000,84800,85400,16255990,0.007075471698113178,37528,26.97,2.28,3166,1.66,1416,1,2
2021-04-06,86200,86200,85100,86000,19042023,0.007025761124121788,37528,27.16,2.29,3166,1.65,1416,2,2
2021-04-07,86100,86200,85400,85600,17885538,-0.0046511627906976605,37528,27.04,2.28,3166,1.65,1416,1,2
2021-04-08,85700,85700,84100,84700,19244259,-0.010514018691588745,37528,26.75,2.26,3166,1.67,1416,2,2
2021-04-09,84700,84900,83400,83600,18193707,-0.012987012987012991,37528,26.41,2.23,3166,1.69,1416,2,2
2021-04-12,84100,84100,83100,83200,12915282,-0.004784688995215336,37528,26.28,2.22,3166,1.7,1416,2,2
2021-04-13,83000,84500,82800,84000,15238206,0.009615384615384581,37528,26.53,2.24,3166,1.69,1416,1,2
2021-04-14,84000,84300,83400,84000,13794652,0.0,37528,26.53,2.24,3166,1.69,1416,2,2
2021-04-15,83700,84500,83400,84100,16377412,0.0011904761904761862,37528,26.56,2.24,3166,1.68,1416,0,2
2021-04-16,84700,84700,83600,83900,15429522,-0.0023781212841854638,37528,26.5,2.24,3166,1.69,1416,2,2
2021-04-19,83800,84000,83300,83300,15287311,-0.007151370679380209,37528,26.31,2.22,3166,1.7,1416,0,2
2021-04-20,83300,84000,83100,83900,15521965,0.007202881152460927,37528,26.5,2.24,3166,1.69,1416,2,2
2021-04-21,83300,83500,82500,82600,21636079,-0.015494636471990453,37528,26.09,2.2,3166,1.71,1416,2,2
2021-04-22,82900,83000,82400,82400,13934746,-0.002421307506053294,37528,26.03,2.2,3166,1.72,1416,2,2
2021-04-23,81900,82900,81600,82800,17805080,0.004854368932038833,37528,26.15,2.21,3166,1.71,1416,0,2
2021-04-26,82900,83500,82600,83500,15489938,0.008454106280193274,37528,26.37,2.23,3166,1.7,1416,2,2
2021-04-27,83200,83300,82500,82900,12941533,-0.007185628742514938,37528,26.18,2.21,3166,1.71,1416,0,2
2021-04-28,83200,83200,82100,82100,15596759,-0.00965018094089265,37528,25.93,2.19,3166,1.72,1416,2,2
2021-04-29,82400,82500,81500,81700,20000973,-0.00487210718635811,37528,25.81,2.18,3166,1.73,1416,2,2
2021-04-30,81900,82100,81500,81500,18673197,-0.002447980416156681,37528,25.74,2.17,3166,1.74,1416,2,2
2021-05-03,81000,82400,81000,81700,15710336,0.0024539877300613355,39406,21.27,2.07,3841,3.66,2994,0,2
2021-05-04,81900,82600,81800,82600,12532550,0.01101591187270512,39406,21.5,2.1,3841,3.62,2994,1,2
2021-05-06,81700,82300,81700,82300,17047511,-0.003631961259079941,39406,21.43,2.09,3841,3.64,2994,2,2
2021-05-07,81800,82100,81500,81900,14154882,-0.004860267314702349,39406,21.32,2.08,3841,3.66,2994,2,2
2021-05-10,82300,83500,81800,83200,19385027,0.015873015873015817,39406,21.66,2.11,3841,3.6,2994,2,2
2021-05-11,82500,82600,81100,81200,28996680,-0.024038461538461564,39406,21.14,2.06,3841,3.69,2994,0,2
2021-05-12,80800,81200,79800,80000,35812268,-0.014778325123152691,39406,20.83,2.03,3841,3.74,2994,2,2
2021-05-13,78900,79600,78400,78500,31490096,-0.018750000000000044,39406,20.44,1.99,3841,3.81,2994,0,2
2021-05-14,79000,80300,78900,80100,16450920,0.020382165605095537,39406,20.85,2.03,3841,3.74,2994,2,2
2021-05-17,80800,80900,79200,79600,17740855,-0.006242197253433224,39406,20.72,2.02,3841,3.76,2994,0,2
